,0
0,<=50K
1,<=50K
2,<=50K
3,<=50K
4,<=50K
5,<=50K
6,>50K
7,<=50K
8,<=50K
9,<=50K
10,<=50K
11,<=50K
12,<=50K
13,>50K
14,<=50K
15,<=50K
16,<=50K
17,<=50K
18,<=50K
19,<=50K
20,<=50K
21,>50K
22,<=50K
23,>50K
24,<=50K
25,<=50K
26,<=50K
27,<=50K
28,<=50K
29,<=50K
30,>50K
31,<=50K
32,<=50K
33,<=50K
34,<=50K
35,<=50K
36,<=50K
37,<=50K
38,>50K
39,<=50K
40,<=50K
41,<=50K
42,<=50K
43,<=50K
44,>50K
45,<=50K
46,<=50K
47,<=50K
48,<=50K
49,<=50K
50,<=50K
51,<=50K
52,<=50K
53,<=50K
54,<=50K
55,<=50K
56,<=50K
57,<=50K
58,<=50K
59,>50K
60,>50K
61,<=50K
62,>50K
63,<=50K
64,<=50K
65,<=50K
66,<=50K
67,>50K
68,<=50K
69,<=50K
70,<=50K
71,<=50K
72,<=50K
73,<=50K
74,<=50K
75,<=50K
76,<=50K
77,<=50K
78,<=50K
79,<=50K
80,<=50K
81,<=50K
82,<=50K
83,<=50K
84,<=50K
85,<=50K
86,<=50K
87,<=50K
88,<=50K
89,<=50K
90,>50K
91,<=50K
92,<=50K
93,<=50K
94,<=50K
95,<=50K
96,>50K
97,<=50K
98,<=50K
99,>50K
100,>50K
101,<=50K
102,>50K
103,>50K
104,>50K
105,<=50K
106,<=50K
107,<=50K
108,<=50K
109,<=50K
110,<=50K
111,<=50K
112,<=50K
113,<=50K
114,<=50K
115,<=50K
116,<=50K
117,<=50K
118,>50K
119,<=50K
120,<=50K
121,>50K
122,>50K
123,>50K
124,<=50K
125,<=50K
126,<=50K
127,<=50K
128,<=50K
129,<=50K
130,<=50K
131,>50K
132,>50K
133,<=50K
134,>50K
135,<=50K
136,>50K
137,<=50K
138,<=50K
139,>50K
140,<=50K
141,<=50K
142,<=50K
143,<=50K
144,<=50K
145,<=50K
146,<=50K
147,<=50K
148,<=50K
149,<=50K
150,<=50K
151,<=50K
152,<=50K
153,<=50K
154,<=50K
155,<=50K
156,<=50K
157,<=50K
158,<=50K
159,<=50K
160,<=50K
161,<=50K
162,<=50K
163,<=50K
164,<=50K
165,>50K
166,<=50K
167,<=50K
168,<=50K
169,<=50K
170,<=50K
171,<=50K
172,<=50K
173,<=50K
174,<=50K
175,>50K
176,<=50K
177,<=50K
178,<=50K
179,<=50K
180,<=50K
181,<=50K
182,<=50K
183,<=50K
184,<=50K
185,<=50K
186,>50K
187,<=50K
188,<=50K
189,<=50K
190,<=50K
191,<=50K
