Id,median_house_value
8609,207556.60326688815
14610,207556.60326688815
1557,207556.60326688815
12875,207556.60326688815
17821,207556.60326688815
1701,207556.60326688815
9856,207556.60326688815
9875,207556.60326688815
4924,207556.60326688815
13021,207556.60326688815
6112,207556.60326688815
17149,207556.60326688815
18770,207556.60326688815
18353,207556.60326688815
17605,207556.60326688815
4862,207556.60326688815
10790,207556.60326688815
13463,207556.60326688815
4325,207556.60326688815
12115,207556.60326688815
18658,207556.60326688815
1729,207556.60326688815
16151,207556.60326688815
12551,207556.60326688815
15556,207556.60326688815
12532,207556.60326688815
14750,207556.60326688815
10652,207556.60326688815
15976,207556.60326688815
1423,207556.60326688815
19410,207556.60326688815
11347,207556.60326688815
8651,207556.60326688815
5733,207556.60326688815
17554,207556.60326688815
11636,207556.60326688815
608,207556.60326688815
13836,207556.60326688815
4922,207556.60326688815
18319,207556.60326688815
8038,207556.60326688815
2881,207556.60326688815
7329,207556.60326688815
5886,207556.60326688815
1294,207556.60326688815
159,207556.60326688815
6007,207556.60326688815
1783,207556.60326688815
11358,207556.60326688815
17373,207556.60326688815
3342,207556.60326688815
9364,207556.60326688815
2500,207556.60326688815
4882,207556.60326688815
20099,207556.60326688815
15874,207556.60326688815
18959,207556.60326688815
6618,207556.60326688815
18228,207556.60326688815
1633,207556.60326688815
14956,207556.60326688815
12800,207556.60326688815
416,207556.60326688815
16424,207556.60326688815
15047,207556.60326688815
17904,207556.60326688815
19886,207556.60326688815
9780,207556.60326688815
14862,207556.60326688815
20354,207556.60326688815
9044,207556.60326688815
4871,207556.60326688815
3632,207556.60326688815
3247,207556.60326688815
8528,207556.60326688815
9080,207556.60326688815
10002,207556.60326688815
4461,207556.60326688815
20069,207556.60326688815
8200,207556.60326688815
9230,207556.60326688815
19260,207556.60326688815
14501,207556.60326688815
7345,207556.60326688815
15167,207556.60326688815
12844,207556.60326688815
4193,207556.60326688815
3624,207556.60326688815
13094,207556.60326688815
5097,207556.60326688815
12227,207556.60326688815
16856,207556.60326688815
661,207556.60326688815
19231,207556.60326688815
5382,207556.60326688815
5537,207556.60326688815
5211,207556.60326688815
15825,207556.60326688815
4004,207556.60326688815
1275,207556.60326688815
1065,207556.60326688815
5074,207556.60326688815
403,207556.60326688815
18088,207556.60326688815
4024,207556.60326688815
11530,207556.60326688815
9416,207556.60326688815
6542,207556.60326688815
35,207556.60326688815
20278,207556.60326688815
16207,207556.60326688815
